# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct 22 10:17:24 2022
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN k2_name:        K2 ID
# COLUMN tic_id:         TIC ID
# COLUMN default_flag:   Default Parameter Set
# COLUMN disposition:    Archive Disposition
# COLUMN disp_refname:   Archive Disposition Reference
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN discoverymethod: Discovery Method
# COLUMN disc_year:      Discovery Year
# COLUMN disc_facility:  Discovery Facility
# COLUMN soltype:        Solution Type
# COLUMN pl_controv_flag: Controversial Flag
# COLUMN pl_refname:     Planetary Parameter Reference
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_orbpererr1:  Orbital Period Upper Unc. [days]
# COLUMN pl_orbpererr2:  Orbital Period Lower Unc. [days]
# COLUMN pl_orbperlim:   Orbital Period Limit Flag
# COLUMN pl_orbsmax:     Orbit Semi-Major Axis [au])
# COLUMN pl_orbsmaxerr1: Orbit Semi-Major Axis Upper Unc. [au]
# COLUMN pl_orbsmaxerr2: Orbit Semi-Major Axis Lower Unc. [au]
# COLUMN pl_orbsmaxlim:  Orbit Semi-Major Axis Limit Flag
# COLUMN pl_rade:        Planet Radius [Earth Radius]
# COLUMN pl_radeerr1:    Planet Radius Upper Unc. [Earth Radius]
# COLUMN pl_radeerr2:    Planet Radius Lower Unc. [Earth Radius]
# COLUMN pl_radelim:     Planet Radius Limit Flag
# COLUMN pl_radj:        Planet Radius [Jupiter Radius]
# COLUMN pl_radjerr1:    Planet Radius Upper Unc. [Jupiter Radius]
# COLUMN pl_radjerr2:    Planet Radius Lower Unc. [Jupiter Radius]
# COLUMN pl_radjlim:     Planet Radius Limit Flag
# COLUMN pl_bmasse:      Planet Mass or Mass*sin(i) [Earth Mass]
# COLUMN pl_bmasseerr1:  Planet Mass or Mass*sin(i) [Earth Mass] Upper Unc.
# COLUMN pl_bmasseerr2:  Planet Mass or Mass*sin(i) [Earth Mass] Lower Unc.
# COLUMN pl_bmasselim:   Planet Mass or Mass*sin(i) [Earth Mass] Limit Flag
# COLUMN pl_bmassj:      Planet Mass or Mass*sin(i) [Jupiter Mass]
# COLUMN pl_bmassjerr1:  Planet Mass or Mass*sin(i) [Jupiter Mass] Upper Unc.
# COLUMN pl_bmassjerr2:  Planet Mass or Mass*sin(i) [Jupiter Mass] Lower Unc.
# COLUMN pl_bmassjlim:   Planet Mass or Mass*sin(i) [Jupiter Mass] Limit Flag
# COLUMN pl_bmassprov:   Planet Mass or Mass*sin(i) Provenance
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_tranmiderr1: Transit Midpoint Upper Unc. [days]
# COLUMN pl_tranmiderr2: Transit Midpoint Lower Unc. [days]
# COLUMN pl_tranmidlim:  Transit Midpoint Limit Flag
# COLUMN ttv_flag:       Data show Transit Timing Variations
#
pl_name,hostname,k2_name,tic_id,default_flag,disposition,disp_refname,sy_snum,sy_pnum,discoverymethod,disc_year,disc_facility,soltype,pl_controv_flag,pl_refname,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_bmasse,pl_bmasseerr1,pl_bmasseerr2,pl_bmasselim,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjlim,pl_bmassprov,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,ttv_flag
EPIC 210609658.01,EPIC 210609658,,TIC 434133200,1,CANDIDATE,Mayo et al. 2018,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,14.14523900,0.00044500,-0.00046800,0,,,,,14.864,1.813,-1.516,0,1.330,0.160,-0.140,0,,,,,,,,,,2457074.405560,0.001149,-0.001113,0,0
EPIC 210625740.01,EPIC 210625740,,TIC 243017567,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2.38677200,0.00007200,-0.00007300,0,,,,,4.000,1.500,-6.500,0,0.400,0.130,-0.580,0,,,,,,,,,,2457062.693000,0.001300,-0.001300,0,0
EPIC 210625740.01,EPIC 210625740,,TIC 243017567,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2.38669000,0.00013000,-0.00013000,0,,,,,3.500,2.400,-2.400,0,0.310,0.210,-0.210,0,,,,,,,,,,2457065.081800,0.002500,-0.002500,0,0
EPIC 210626797.01,EPIC 210626797,,TIC 435305058,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,43.36143000,0.00065000,-0.00066000,0,,,,,29.800,9.300,-12.300,0,2.660,0.830,-1.100,0,,,,,,,,,,2457072.566230,0.000460,-0.000450,0,0
EPIC 210629082.01,EPIC 210629082,,TIC 59004498,1,CANDIDATE,Mayo et al. 2018,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,27.35310300,0.00729000,-0.00747200,0,,,,,3.050,0.693,-0.428,0,0.270,0.060,-0.040,0,,,,,,,,,,2457086.014870,0.005137,-0.005169,0,0
EPIC 210659688.01,EPIC 210659688,,TIC 434129836,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,2.35765100,0.00009200,-0.00009000,0,,,,,1.950,0.380,-1.090,0,0.174,0.034,-0.097,0,,,,,,,,,,2457062.663800,0.001200,-0.001200,0,0
EPIC 210659688.01,EPIC 210659688,,TIC 434129836,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2.35771000,0.00011000,-0.00011000,0,,,,,3.000,1.800,-1.800,0,0.270,0.160,-0.160,0,,,,,,,,,,2457065.020700,0.001600,-0.001600,0,0
EPIC 210659945.01,EPIC 210659945,,TIC 435334561,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,27.93290000,0.00830000,-0.00400000,0,,,,,2.510,0.660,-0.420,0,0.224,0.059,-0.037,0,,,,,,,,,,2457073.160000,0.004500,-0.012600,0,0
EPIC 210664763.01,EPIC 210664763,,TIC 435279642,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.72007000,0.00047000,-0.00035000,0,,,,,1.550,0.200,-0.330,0,0.138,0.020,-0.029,0,,,,,,,,,,2457064.251200,0.004500,-0.006500,0,0
EPIC 210666756.01,EPIC 210666756,,TIC 242942524,0,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,1.39629100,0.00008200,-0.00008200,0,,,,,1.890,0.440,-0.440,0,0.169,0.039,-0.039,0,,,,,,,,,,2457066.186200,0.002200,-0.002200,0,0
EPIC 210666756.01,EPIC 210666756,,TIC 242942524,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,1.39657671,,,0,,,,,,,,,,,,,,,,,,,,,,2457061.988140,,,0,0
EPIC 210678858.01,EPIC 210678858,,TIC 25958209,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,31.35370000,0.00190000,-0.00190000,0,,,,,3.850,0.250,-0.290,0,0.343,0.022,-0.026,0,,,,,,,,,,2457073.019600,0.001400,-0.001500,0,0
EPIC 210678858.02,EPIC 210678858,,TIC 25958209,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,14.84840000,0.00110000,-0.00100000,0,,,,,2.680,0.180,-0.350,0,0.239,0.016,-0.031,0,,,,,,,,,,2457070.222400,0.002100,-0.002000,0,0
EPIC 210678858.03,EPIC 210678858,,TIC 25958209,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,10.06960000,0.00120000,-0.00130000,0,,,,,1.690,0.150,-0.290,0,0.151,0.013,-0.026,0,,,,,,,,,,2457071.265400,0.004200,-0.004200,0,0
EPIC 210696763.01,EPIC 210696763,,TIC 26055820,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.65017000,0.00029000,-0.00027000,0,,,,,1.150,0.250,-0.240,0,0.103,0.022,-0.021,0,,,,,,,,,,2457065.147000,0.002500,-0.002600,0,0
EPIC 210696763.01,EPIC 210696763,,TIC 26055820,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,3.64940000,,,0,,,,,,,,,,,,,,,,,,,,,,2457061.511110,,,0,0
EPIC 210696763.02,EPIC 210696763,,TIC 26055820,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,5.76630000,,,0,,,,,,,,,,,,,,,,,,,,,,2457062.461720,,,0,0
EPIC 210696763.02,EPIC 210696763,,TIC 26055820,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,5.76808000,0.00040000,-0.00040000,0,,,,,1.190,0.260,-0.250,0,0.106,0.023,-0.022,0,,,,,,,,,,2457062.441900,0.002600,-0.002700,0,0
EPIC 210696763.03,EPIC 210696763,,TIC 26055820,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,7.98471000,0.00104000,-0.00090000,0,,,,,1.190,0.270,-0.520,0,0.106,0.024,-0.046,0,,,,,,,,,,2457067.925400,0.003900,-0.003900,0,0
EPIC 210696763.03,EPIC 210696763,,TIC 26055820,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,7.98221000,,,0,,,,,,,,,,,,,,,,,,,,,,2457059.963260,,,0,0
EPIC 210736056.01,EPIC 210736056,,TIC 113953280,1,CANDIDATE,Rizzuto et al. 2017,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,29.05290000,,,0,,,,,,,,,,,,,,,,,,,,,,2457044.194730,,,0,0
EPIC 210744674.01,EPIC 210744674,,TIC 17335456,0,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,25.22080000,0.00019000,-0.00019000,0,,,,,65.000,26.000,-26.000,0,5.800,2.300,-2.300,0,,,,,,,,,,2457065.920250,0.000180,-0.000180,0,0
EPIC 210744674.01,EPIC 210744674,,TIC 17335456,0,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,25.20778830,,,0,,,,,,,,,,,,,,,,,,,,,,2457065.929742,,,0,0
EPIC 210744674.01,EPIC 210744674,,TIC 17335456,1,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,25.21970900,0.00006400,-0.00006500,0,,,,,87.000,25.000,-43.000,0,7.800,2.200,-3.800,0,,,,,,,,,,2457065.920190,0.000084,-0.000085,0,0
EPIC 210754505.01,EPIC 210754505,,TIC 17150865,0,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,0.87077500,0.00022300,-0.00022300,0,,,,,3.970,0.470,-0.470,0,0.354,0.042,-0.042,0,,,,,,,,,,2457077.079170,0.000540,-0.000570,0,0
EPIC 210754505.01,EPIC 210754505,,TIC 17150865,0,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,TESS Project Candidate,0,<a refstr=EXOFOP_TESS_TOI href=https://exofop.ipac.caltech.edu/tess/view_toi.php target=ref>ExoFOP-TESS TOI</a>,0.87067450,0.00006084,-0.00006084,0,,,,,13.023,13.657,-13.657,0,1.162,1.218,-1.218,0,,,,,,,,,,2459501.044213,0.002097,-0.002097,0,0
EPIC 210754505.01,EPIC 210754505,,TIC 17150865,1,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,0.87052967,,,0,,,,,,,,,,,,,,,,,,,,,,2457062.285276,,,0,0
EPIC 210754505.01,EPIC 210754505,,TIC 17150865,0,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,0.87067300,0.00001700,-0.00001700,0,,,,,21.000,20.000,-20.000,0,1.900,1.800,-1.800,0,,,,,,,,,,2457065.763280,0.000730,-0.000730,0,0
EPIC 210769880.01,EPIC 210769880,,TIC 15932677,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.43675600,0.00003300,-0.00003400,0,,,,,110.000,31.000,-31.000,0,9.800,2.800,-2.800,0,,,,,,,,,,2457062.608610,0.000890,-0.000880,0,0
EPIC 210769880.01,EPIC 210769880,,TIC 15932677,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,1.43689647,,,0,,,,,,,,,,,,,,,,,,,,,,2457062.606967,,,0,0
EPIC 210775710.01,EPIC 210775710,,TIC 113921235,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,59.84871000,0.00016000,-0.00016000,0,,,,,12.000,1.350,-0.340,0,1.100,0.120,-0.030,0,,,,,,,,,,2457064.697160,0.000120,-0.000110,0,0
EPIC 210775710.01,EPIC 210775710,,TIC 113921235,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2018,K2,Published Candidate,0,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....155..136M/abstract target=ref>Mayo et al. 2018</a>,59.84856600,0.00018400,-0.00018300,0,,,,,10.814,1.157,-0.566,0,0.960,0.100,-0.050,0,,,,,,,,,,2457064.697280,0.000133,-0.000133,0,0
EPIC 210777017.01,EPIC 210777017,,TIC 14228017,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,11.37698000,0.00120000,-0.00086000,0,,,,,,,,,,,,,,,,,,,,,,2457070.333700,0.002800,-0.002800,0,0
EPIC 210777017.01,EPIC 210777017,,TIC 14228017,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,11.37600000,0.00150000,-0.00130000,0,,,,,2.030,0.210,-0.330,0,0.181,0.019,-0.029,0,,,,,,,,,,2457070.332900,0.003500,-0.003700,0,0
EPIC 210789323.01,EPIC 210789323,,TIC 114062321,1,FALSE POSITIVE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,29.12555000,0.00034000,-0.00034000,0,,,,,205.000,67.000,-67.000,0,18.300,6.000,-6.000,0,,,,,,,,,,2457073.720920,0.000320,-0.000320,0,0
EPIC 210801536.01,EPIC 210801536,,TIC 26054964,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,0.89250000,0.00013000,-0.00013000,0,,,,,2.700,1.700,-2.300,0,0.240,0.150,-0.210,0,,,,,,,,,,2457062.081600,0.006900,-0.006100,0,0
EPIC 210813978.01,EPIC 210813978,,TIC 440687872,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,14.76190000,0.00140000,-0.00140000,0,,,,,2.110,0.160,-5.400,0,0.188,0.014,-0.480,0,,,,,,,,,,2457067.601100,0.003700,-0.003800,0,0
EPIC 210813978.01,EPIC 210813978,,TIC 440687872,0,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019RNAAS...3...43Z/abstract target=ref>Zink et al. 2019</a>,14.75820000,0.00140000,-0.00120000,0,,,,,,,,,,,,,,,,,,,,,,2457067.612100,0.003300,-0.004600,0,0
EPIC 210827030.01,EPIC 210827030,,TIC 15821111,1,FALSE POSITIVE,Rizzuto et al. 2017,1,0,Transit,2017,K2,Published Candidate,0,<a refstr=RIZZUTO_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017AJ....154..224R/abstract target=ref>Rizzuto et al. 2017</a>,0.51110000,,,0,,,,,,,,,,,,,,,,,,,,,,2457063.518630,,,0,0
EPIC 210843708.01,EPIC 210843708,,TIC 440699530,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,0.70416550,,,0,,,,,,,,,,,,,,,,,,,,,,2457062.025169,,,0,0
EPIC 210852232.01,EPIC 210852232,,TIC 14080244,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.93426000,0.00016000,-0.00015000,0,,,,,1.640,0.240,-0.990,0,0.146,0.021,-0.088,0,,,,,,,,,,2457063.255000,0.003100,-0.003100,0,0
EPIC 210852232.02,EPIC 210852232,,TIC 14080244,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,3.43827000,0.00016000,-0.00017000,0,,,,,1.980,0.230,-0.310,0,0.177,0.021,-0.028,0,,,,,,,,,,2457065.044200,0.001900,-0.001900,0,0
EPIC 210877025.01,EPIC 210877025,,TIC 61141802,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,18.03895153,,,0,,,,,,,,,,,,,,,,,,,,,,2457071.519871,,,0,0
EPIC 210903662.01,EPIC 210903662,,TIC 14230289,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,2.41040731,,,0,,,,,,,,,,,,,,,,,,,,,,2457063.425344,,,0,0
EPIC 210903662.01,EPIC 210903662,,TIC 14230289,0,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,2.41027100,0.00001500,-0.00001500,0,,,,,17.300,5.400,-5.400,0,1.540,0.480,-0.480,0,,,,,,,,,,2457065.838830,0.000240,-0.000240,0,0
EPIC 210925707.01,EPIC 210925707,,TIC 440687177,1,CANDIDATE,Barros et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=BARROS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016A&A...594A.100B/abstract target=ref>Barros et al. 2016</a>,1.68658840,,,0,,,,,,,,,,,,,,,,,,,,,,2457062.238260,,,0,0
EPIC 210933299.01,EPIC 210933299,,TIC 61145203,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,8.40440000,0.00150000,-0.00240000,0,,,,,1.240,0.270,-0.580,0,0.111,0.024,-0.052,0,,,,,,,,,,2457066.699500,0.007100,-0.006700,0,0
EPIC 210935498.01,EPIC 210935498,,TIC 440727989,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,1.18292660,0.00000130,-0.00000140,0,,,,,29.000,7.500,-14.000,0,2.600,0.670,-1.200,0,,,,,,,,,,2457061.845390,0.000042,-0.000041,0,0
EPIC 210945680.01,EPIC 210945680,,TIC 61116662,1,CANDIDATE,Zink et al. 2021,1,0,Transit,2021,K2,Published Candidate,0,<a refstr=ZINK_ET_AL__2021 href=https://ui.adsabs.harvard.edu/abs/2021AJ....162..259Z/abstract target=ref>Zink et al. 2021</a>,20.60065600,0.00398900,-0.00645700,0,,,,,2.166,0.080,-0.081,0,0.193,0.007,-0.007,0,,,,,,,,,,2457075.516123,0.010867,-0.004946,0,0
EPIC 210954046.01,EPIC 210954046,,TIC 14333263,1,FALSE POSITIVE,Adams et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=ADAMS_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016AJ....152...47A/abstract target=ref>Adams et al. 2016</a>,0.95035600,0.00017700,-0.00017700,0,,,,,6.940,1.080,-1.080,0,0.619,0.096,-0.096,0,,,,,,,,,,2457128.330240,0.001110,-0.001130,0,0
EPIC 210956385.01,EPIC 210956385,,TIC 440695298,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2019,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,56.62050000,0.00110000,-0.00110000,0,,,,,7.680,0.680,-0.580,0,0.685,0.061,-0.052,0,,,,,,,,,,2457065.418870,0.000780,-0.000790,0,0
EPIC 210958990.01,EPIC 210958990,,TIC 15935339,1,CANDIDATE,Crossfield et al. 2016,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,1.70230100,0.00001800,-0.00001800,0,,,,,19.100,4.200,-4.200,0,1.700,0.370,-0.370,0,,,,,,,,,,2457065.782900,0.004200,-0.004200,0,0
EPIC 210961508.01,EPIC 210961508,,TIC 14226699,1,CANDIDATE,Kruse et al. 2019,1,0,Transit,2016,K2,Published Candidate,0,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019ApJS..244...11K/abstract target=ref>Kruse et al. 2019</a>,0.34991460,0.00000240,-0.00000240,0,,,,,39.400,5.800,-6.100,0,3.520,0.520,-0.540,0,,,,,,,,,,2457062.109590,0.000270,-0.000270,0,0
